id,code_commune,nomcommunecode_departement
1,350,SAINT-ETIENNE-DU-BOIS,1
2,103,CHEVRY,1
3,143,DIVONNE-LES-BAINS,1
4,288,PERON,1
5,33,VALSERHONE,1
6,138,CULOZ,1
7,354,ST-GENIS-POUILLY,1
8,354,ST-GENIS-POUILLY,1
9,143,DIVONNE-LES-BAINS,1
10,354,ST-GENIS-POUILLY,1
11,288,PERON,1
12,283,OYONNAX,1
13,357,ST-GERMAIN-DE-JOUX,1
14,173,GEX,1
15,33,VALSERHONE,1
16,143,DIVONNE-LES-BAINS,1
17,4,AMBERIEU-EN-BUGEY,1
18,71,CESSY,1
19,396,SAULT-BRENAZ,1
20,160,FERNEY-VOLTAIRE,1
21,103,CHEVRY,1
22,399,SEGNY,1
23,202,LAGNIEU,1
24,204,LE POIZAT-LALLEYRIAT,1
25,173,GEX,1
26,354,ST-GENIS-POUILLY,1
27,4,AMBERIEU-EN-BUGEY,1
28,34,BELLEY,1
29,281,ORNEX,1
30,354,ST-GENIS-POUILLY,1
31,160,FERNEY-VOLTAIRE,1
32,138,CULOZ,1
33,202,LAGNIEU,1
34,148,DORTAN,1
35,4,AMBERIEU-EN-BUGEY,1
36,34,BELLEY,1
37,202,LAGNIEU,1
38,160,FERNEY-VOLTAIRE,1
39,160,FERNEY-VOLTAIRE,1
40,313,PREVESSIN-MOENS,1
41,60,BRENOD,1
42,4,AMBERIEU-EN-BUGEY,1
43,363,SAINT-JEAN-LE-VIEUX,1
44,160,FERNEY-VOLTAIRE,1
45,269,NANTUA,1
46,345,SAINT-DENIS-EN-BUGEY,1
47,419,THOIRY,1
48,283,OYONNAX,1
49,31,BELLIGNAT,1
50,354,ST-GENIS-POUILLY,1
51,313,PREVESSIN-MOENS,1
52,160,FERNEY-VOLTAIRE,1
53,185,PLATEAU D'HAUTEVILLE,1
54,173,GEX,1
55,160,FERNEY-VOLTAIRE,1
56,354,ST-GENIS-POUILLY,1
57,354,ST-GENIS-POUILLY,1
58,210,LELEX,1
59,34,BELLEY,1
60,399,SEGNY,1
61,173,GEX,1
62,4,AMBERIEU-EN-BUGEY,1
63,33,VALSERHONE,1
64,281,ORNEX,1
65,71,CESSY,1
66,173,GEX,1
67,202,LAGNIEU,1
68,313,PREVESSIN-MOENS,1
69,173,GEX,1
70,436,VESANCY,1
71,33,VALSERHONE,1
72,419,THOIRY,1
73,419,THOIRY,1
74,192,IZERNORE,1
75,4,AMBERIEU-EN-BUGEY,1
76,4,AMBERIEU-EN-BUGEY,1
77,354,ST-GENIS-POUILLY,1
78,160,FERNEY-VOLTAIRE,1
79,281,ORNEX,1
80,153,ECHENEVEX,1
81,103,CHEVRY,1
82,313,PREVESSIN-MOENS,1
83,313,PREVESSIN-MOENS,1
84,419,THOIRY,1
85,435,VERSONNEX,1
86,33,VALSERHONE,1
87,143,DIVONNE-LES-BAINS,1
88,4,AMBERIEU-EN-BUGEY,1
89,33,VALSERHONE,1
90,33,VALSERHONE,1
91,143,DIVONNE-LES-BAINS,1
92,173,GEX,1
93,390,SAINT-VULBAS,1
94,160,FERNEY-VOLTAIRE,1
95,34,BELLEY,1
96,283,OYONNAX,1
97,160,FERNEY-VOLTAIRE,1
98,173,GEX,1
99,4,AMBERIEU-EN-BUGEY,1
100,109,COLLONGES,1
101,153,ECHENEVEX,1
102,281,ORNEX,1
103,79,CHAMPAGNE-EN-VALROMEY,1
104,354,ST-GENIS-POUILLY,1
105,199,JUJURIEUX,1
106,33,VALSERHONE,1
107,240,MATAFELON-GRANGES,1
108,33,VALSERHONE,1
109,419,THOIRY,1
110,283,OYONNAX,1
111,33,VALSERHONE,1
112,187,HAUT-VALROMEY,1
113,269,NANTUA,1
114,313,PREVESSIN-MOENS,1
115,71,CESSY,1
116,283,OYONNAX,1
117,14,ARBENT,1
118,33,VALSERHONE,1
119,390,SAINT-VULBAS,1
120,173,GEX,1
121,34,BELLEY,1
122,138,CULOZ,1
123,224,LOYETTES,1
124,160,FERNEY-VOLTAIRE,1
125,419,THOIRY,1
126,143,DIVONNE-LES-BAINS,1
127,160,FERNEY-VOLTAIRE,1
128,210,LELEX,1
129,160,FERNEY-VOLTAIRE,1
130,199,JUJURIEUX,1
131,33,VALSERHONE,1
132,173,GEX,1
133,103,CHEVRY,1
134,71,CESSY,1
135,33,VALSERHONE,1
136,33,VALSERHONE,1
137,354,ST-GENIS-POUILLY,1
138,143,DIVONNE-LES-BAINS,1
139,33,VALSERHONE,1
140,173,GEX,1
141,202,LAGNIEU,1
142,354,ST-GENIS-POUILLY,1
143,399,SEGNY,1
144,4,AMBERIEU-EN-BUGEY,1
145,34,BELLEY,1
146,354,ST-GENIS-POUILLY,1
147,247,MIJOUX,1
148,160,FERNEY-VOLTAIRE,1
149,401,SERGY,1
150,4,AMBERIEU-EN-BUGEY,1
151,33,VALSERHONE,1
152,33,VALSERHONE,1
153,31,BELLIGNAT,1
154,160,FERNEY-VOLTAIRE,1
155,33,VALSERHONE,1
156,173,GEX,1
157,281,ORNEX,1
158,419,THOIRY,1
159,173,GEX,1
160,401,SERGY,1
161,160,FERNEY-VOLTAIRE,1
162,354,ST-GENIS-POUILLY,1
163,143,DIVONNE-LES-BAINS,1
164,419,THOIRY,1
165,33,VALSERHONE,1
166,354,ST-GENIS-POUILLY,1
167,34,BELLEY,1
168,313,PREVESSIN-MOENS,1
169,71,CESSY,1
170,143,DIVONNE-LES-BAINS,1
171,34,BELLEY,1
172,143,DIVONNE-LES-BAINS,1
173,71,CESSY,1
174,143,DIVONNE-LES-BAINS,1
175,173,GEX,1
176,202,LAGNIEU,1
177,158,FARGES,1
178,354,ST-GENIS-POUILLY,1
179,135,CROZET,1
180,443,VILLARS-LES-DOMBES,1
181,244,MEXIMIEUX,1
182,258,MONTCEAUX,1
183,262,MONTLUEL,1
184,194,JASSANS-RIOTTIER,1
185,30,BEAUREGARD,1
186,244,MEXIMIEUX,1
187,142,DAGNEUX,1
188,248,MIONNAY,1
189,450,VILLIEU-LOYES-MOLLON,1
190,173,CHAUNY,2
191,408,LAON,2
192,408,LAON,2
193,408,LAON,2
194,408,LAON,2
195,304,LA FERE,2
196,408,LAON,2
197,173,CHAUNY,2
198,408,LAON,2
199,408,LAON,2
200,408,LAON,2
201,408,LAON,2
202,408,LAON,2
203,408,LAON,2
204,408,LAON,2
205,408,LAON,2
206,408,LAON,2
207,408,LAON,2
208,408,LAON,2
209,755,URCEL,2
210,173,CHAUNY,2
211,408,LAON,2
212,408,LAON,2
213,680,SAINT GOBAIN,2
214,738,TERGNIER,2
215,408,LAON,2
216,408,LAON,2
217,408,LAON,2
218,318,FOLEMBRAY,2
219,408,LAON,2
220,408,LAON,2
221,408,LAON,2
222,408,LAON,2
223,691,SAINT QUENTIN,2
224,691,SAINT QUENTIN,2
225,691,SAINT QUENTIN,2
226,691,SAINT QUENTIN,2
227,722,SOISSONS,2
228,226,COURMELLES,2
229,722,SOISSONS,2
230,722,SOISSONS,2
231,722,SOISSONS,2
232,722,SOISSONS,2
233,722,SOISSONS,2
234,795,VIC SUR AISNE,2
235,795,VIC SUR AISNE,2
236,810,VILLERS-COTTERETS,2
237,410,LARGNY SUR AUTOMNE,2
238,810,VILLERS-COTTERETS,2
239,722,SOISSONS,2
240,722,SOISSONS,2
241,722,SOISSONS,2
242,537,NANTEUIL LA FOSSE,2
243,758,VAILLY-SUR-AISNE,2
244,810,VILLERS-COTTERETS,2
245,722,SOISSONS,2
246,722,SOISSONS,2
247,722,SOISSONS,2
248,722,SOISSONS,2
249,810,VILLERS-COTTERETS,2
250,201,COEUVRES ET VALSERY,2
251,810,VILLERS-COTTERETS,2
252,722,SOISSONS,2
253,722,SOISSONS,2
254,722,SOISSONS,2
255,64,BELLEU,2
256,722,SOISSONS,2
257,722,SOISSONS,2
258,722,SOISSONS,2
259,810,VILLERS-COTTERETS,2
260,722,SOISSONS,2
261,810,VILLERS-COTTERETS,2
262,810,VILLERS-COTTERETS,2
263,722,SOISSONS,2
264,722,SOISSONS,2
265,722,SOISSONS,2
266,201,COEUVRES ET VALSERY,2
267,722,SOISSONS,2
268,722,SOISSONS,2
269,722,SOISSONS,2
270,168,CHATEAU THIERRY,2
271,168,CHATEAU THIERRY,2
272,168,CHATEAU THIERRY,2
273,168,CHATEAU THIERRY,2
274,305,FERE EN TARDENOIS,2
275,190,MOULINS,3
276,190,MOULINS,3
277,190,MOULINS,3
278,190,MOULINS,3
279,190,MOULINS,3
280,321,YZEURE,3
281,190,MOULINS,3
282,321,YZEURE,3
283,321,YZEURE,3
284,321,YZEURE,3
285,190,MOULINS,3
286,95,CUSSET,3
287,310,VICHY,3
288,310,VICHY,3
289,310,VICHY,3
290,310,VICHY,3
291,310,VICHY,3
292,209,SISTERON,4
293,166,RIEZ,4
294,73,ENCHASTRAYES,4
295,49,CHATEAU-ARNOUX-SAINT-AUBAN,4
296,70,DIGNE-LES-BAINS,4
297,126,MONTCLAR,4
298,209,SISTERON,4
299,6,ALLOS,4
300,39,CASTELLANE,4
301,96,JAUSIERS,4
302,102,LE LAUZET UBAYE,4
303,205,SEYNE,4
304,6,ALLOS,4
305,70,DIGNE-LES-BAINS,4
306,70,DIGNE-LES-BAINS,4
307,126,MONTCLAR,4
308,176,SAINTE CROIX DU VERDON,4
309,6,ALLOS,4
310,86,FAUCON-DE-BARCELONNETTE,4
311,73,ENCHASTRAYES,4
