id,No_voie,Code_type_de_voie,Type_de_voie,Code_voie,Voie,Code_postal,Surface_premier_lot,Surface_reelle_bati,Nombre_lots,Nombre_pieces_principales,Surface_terrain,Code_type_local,code_commune
1,190,0,RUE,5,CENTRALE,1370.0,"50,42",52,1,2,,2,1
2,347,0,RUE,20,DU CHATEAU,1170.0,"48,22",48,2,3,,2,2
3,58,1,AV,527,DU MONT BLANC,1220.0,"130,8",130,2,6,,2,3
4,140,0,RUE,2,DE L'ABBE JOLIVET,1630.0,"109,22",109,1,5,,1,4
5,39,0,RUE,110,BUFFON,1200.0,"108,65",91,2,4,,2,5
6,28,1,AV,179,JEAN FALCONNIER,1350.0,"31,65",32,1,2,,2,6
7,8,0,RUE,120,DE GENEVE,1630.0,"52,58",52,1,2,,2,7
8,2,0,RUE,210,DU RECULET,1630.0,"58,71",60,1,2,,2,8
9,1403,0,RUE,465,JEAN DE GINGINS,1220.0,"93,23",96,3,4,,1,9
10,226,2,ALL,36,DES CAPUCINES,1630.0,117,117,1,5,,1,10
11,276,3,RTE,210,DE POUGNY,1630.0,"35,6",36,1,2,,2,11
12,79,4,CRS,1490,DE VERDUN,1100.0,"138,03",137,2,5,,2,12
13,77,0,RUE,20,DU COMMERCE,1130.0,42,43,1,2,,2,13
14,240,0,RUE,650,DE PRE BAILLY,1170.0,"45,36",45,2,2,,2,14
15,3,0,RUE,541,TURENNE,1200.0,"82,6",84,2,4,,2,15
16,44,2,ALL,695,DU SQUARE DE LAUSANNE,1220.0,"88,11",88,1,4,,2,16
17,59,0,RUE,40,ALEXANDRE BERARD,1500.0,"164,87",143,1,6,,2,17
18,282,5,CHE,130,DES LONGES RAYES,1170.0,"42,2",42,2,2,,2,18
19,54,6,GR,45,GRANDE RUE,1150.0,"68,11",65,1,3,,2,19
20,1,0,RUE,160,DE GEX,1210.0,"82,59",75,1,3,,2,20
21,17,7,LOT,A036,LES JARDINS DE CHEVRY,1170.0,"30,23",30,1,1,,2,21
22,329,0,RUE,25,DES CARPIERES,1170.0,"24,8",25,1,1,,2,22
